性別コード,地域別階層コード,地域識別コード,地域コード,地域名,性別区分,年齢階級区分,2015年,2020年,2025年,2030年,2035年,2040年
0,0,a,13000,東京都,男女計,total,13515271,13912951,14077962,14036401,13828850,13506783
0,0,a,13000,東京都,男女計,0,526693,529969,507845,475897,456756,432448
0,0,a,13000,東京都,男女計,5,501345,528317,516093,496703,466429,448645
0,0,a,13000,東京都,男女計,10,495315,514094,528654,510352,490033,463991
0,0,a,13000,東京都,男女計,15,572290,568888,579878,583584,547620,521916
0,0,a,13000,東京都,男女計,20,776599,782834,762857,749236,713143,657257
0,0,a,13000,東京都,男女計,25,893277,875439,884627,847630,813694,774421
0,0,a,13000,東京都,男女計,30,996665,937577,911060,921289,873434,833531
0,0,a,13000,東京都,男女計,35,1061764,1014519,944612,915301,926564,873795
0,0,a,13000,東京都,男女計,40,1176675,1080322,1014227,938639,909308,921086
0,0,a,13000,東京都,男女計,45,1067672,1207852,1095913,1020539,940474,909244
0,0,a,13000,東京都,男女計,50,907423,1066901,1204791,1086157,1007859,928558
0,0,a,13000,東京都,男女計,55,735458,890972,1038675,1173822,1058019,982698
0,0,a,13000,東京都,男女計,60,738372,711317,849140,987285,1121744,1012771
0,0,a,13000,東京都,男女計,65,870289,710688,680045,806422,941736,1063968
0,0,a,13000,東京都,男女計,70,726526,815845,668409,635005,752131,874831
0,0,a,13000,東京都,男女計,75,595446,655571,739900,606614,574536,675966
0,0,a,13000,東京都,男女計,80,459411,497778,550003,622698,513412,480129
0,0,a,13000,東京都,男女計,85,267985,330181,357385,385630,422574,331007
0,0,a,13000,東京都,男女計,90,146066,193887,243848,273598,299384,320521
1,0,a,13000,東京都,男,総数,6666690,6838364,6899355,6864206,6748760,6579406
1,0,a,13000,東京都,男,0 ～ 4,268533,269971,258423,241960,232018,219440
1,0,a,13000,東京都,男,5 ～ 9,256875,269257,262795,252630,236970,227459
1,0,a,13000,東京都,男,10～14,253353,263053,269096,259605,248984,235617
1,0,a,13000,東京都,男,15～19,292195,290456,296015,296189,277854,266389
1,0,a,13000,東京都,男,20～24,395989,400693,390178,382813,361780,333073
1,0,a,13000,東京都,男,25～29,453532,442370,449819,431138,413781,391276
1,0,a,13000,東京都,男,30～34,511508,473389,458098,466663,442813,422421
1,0,a,13000,東京都,男,35～39,544329,518106,475171,458732,467923,441742
1,0,a,13000,東京都,男,40～44,598356,549072,514205,469329,453460,462980
1,0,a,13000,東京都,男,45～49,548794,612124,555529,516310,469174,452342
1,0,a,13000,東京都,男,50～54,470125,547873,609913,549864,508863,462301
1,0,a,13000,東京都,男,55～59,377164,459342,530843,591295,532671,493294
1,0,a,13000,東京都,男,60～64,371832,359718,431978,498210,558020,503419
1,0,a,13000,東京都,男,65～69,423113,349775,336353,401701,465699,518555
1,0,a,13000,東京都,男,70～74,333093,383881,318688,304529,363516,419699
1,0,a,13000,東京都,男,75～79,258119,285569,331391,275794,263124,312205
1,0,a,13000,東京都,男,80～84,183008,198423,220666,257816,216397,204162
1,0,a,13000,東京都,男,85～89,91339,115365,125150,136132,154586,123386
1,0,a,13000,東京都,男,90歳以上,35433,49927,65044,73496,81127,89646
2,0,a,13000,東京都,女,総数,6848581,7074587,7178607,7172195,7080090,6927377
2,0,a,13000,東京都,女,0 ～ 4,258160,259998,249422,233937,224738,213008
2,0,a,13000,東京都,女,5 ～ 9,244470,259060,253298,244073,229459,221186
2,0,a,13000,東京都,女,10～14,241962,251041,259558,250747,241049,228374
2,0,a,13000,東京都,女,15～19,280095,278432,283863,287395,269766,255527
2,0,a,13000,東京都,女,20～24,380610,382141,372679,366423,351363,324184
2,0,a,13000,東京都,女,25～29,439745,433069,434808,416492,399913,383145
2,0,a,13000,東京都,女,30～34,485157,464188,452962,454626,430621,411110
2,0,a,13000,東京都,女,35～39,517435,496413,469441,456569,458641,432053
2,0,a,13000,東京都,女,40～44,578319,531250,500022,469310,455848,458106
2,0,a,13000,東京都,女,45～49,518878,595728,540384,504229,471300,456902
2,0,a,13000,東京都,女,50～54,437298,519028,594878,536293,498996,466257
2,0,a,13000,東京都,女,55～59,358294,431630,507832,582527,525348,489404
2,0,a,13000,東京都,女,60～64,366540,351599,417162,489075,563724,509352
2,0,a,13000,東京都,女,65～69,447176,360913,343692,404721,476037,545413
2,0,a,13000,東京都,女,70～74,393433,431964,349721,330476,388615,455132
2,0,a,13000,東京都,女,75～79,337327,370002,408509,330820,311412,363761
2,0,a,13000,東京都,女,80～84,276403,299355,329337,364882,297015,275967
2,0,a,13000,東京都,女,85～89,176646,214816,232235,249498,267988,207621
2,0,a,13000,東京都,女,90歳以上,110633,143960,178804,200102,218257,230875
